- - - - - - - - - - - - - - - - - - - - - - - - -
                    AIRECEIPTS                    
         “One hundred distinct tool rows”         
   Claude Code · Jun 26 2026 14:00 UTC · 1h 41m   
               claude-sonnet-5 100%               
         cache served 34% of input tokens         

[##########] = priciest line; others in proportion

--- TOOL CALLS ---
mcp__postgres__query_098....≥ $0.0037 [##########]
mcp__redis__scan_099........≥ $0.0037 [##########]
mcp__sentry__resolve_eve…...≥ $0.0037 [##########]
Task_088....................≥ $0.0036 [##########]
mcp__figma__get_node_096....≥ $0.0036 [##########]
NotebookEdit_087............≥ $0.0036 [##########]
Edit_077....................≥ $0.0036 [##########]
mcp__linear__list_issues…...≥ $0.0036 [##########]
NotebookRead_086............≥ $0.0036 [##########]
Read_076....................≥ $0.0036 [##########]
mcp__github__get_issue_0…...≥ $0.0036 [##########]
WebFetch_084................≥ $0.0036 [##########]
WebSearch_085...............≥ $0.0036 [##########]
mcp__browser__click_075.....≥ $0.0036 [##########]
KillShell_066...............≥ $0.0036 [##########]
ReadMcpResource_093.........≥ $0.0036 [##########]
TodoWrite_083...............≥ $0.0036 [##########]
mcp__redis__scan_074........≥ $0.0036 [##########]
Read_101....................≥ $0.0036 [##########]
MultiEdit_065...............≥ $0.0036 [##########]
KillShell_091...............≥ $0.0036 [##########]
Grep_055....................≥ $0.0036 [##########]
ListMcpResources_092........≥ $0.0036 [##########]
LS_082......................≥ $0.0036 [##########]
mcp__postgres__query_073....≥ $0.0036 [##########]
Task_063....................≥ $0.0036 [##########]
mcp__browser__click_100.....≥ $0.0036 [##########]
SlashCommand_064............≥ $0.0036 [##########]
MultiEdit_090...............≥ $0.0036 [##########]
Bash_054....................≥ $0.0036 [##########]
Glob_081....................≥ $0.0036 [##########]
mcp__sentry__resolve_eve…...≥ $0.0036 [##########]
NotebookEdit_062............≥ $0.0036 [##########]
SlashCommand_089............≥ $0.0036 [##########]
Write_053...................≥ $0.0036 [##########]
Grep_080....................≥ $0.0035 [##########]
mcp__github__get_issue_0…...≥ $0.0035 [##########]
mcp__linear__list_issues…...≥ $0.0035 [##########]
mcp__figma__get_node_071....≥ $0.0035 [##########]
NotebookRead_061............≥ $0.0035 [##########]
Edit_052....................≥ $0.0035 [##########]
ListMcpResources_042........≥ $0.0035 [##########]
Bash_079....................≥ $0.0035 [##########]
ReadMcpResource_043.........≥ $0.0035 [##########]
mcp__github__get_issue_0…...≥ $0.0035 [##########]
TodoWrite_033...............≥ $0.0035 [##########]
WebSearch_060...............≥ $0.0035 [##########]
Read_051....................≥ $0.0035 [##########]
KillShell_041...............≥ $0.0035 [##########]
Write_078...................≥ $0.0035 [##########]
ReadMcpResource_068.........≥ $0.0035 [##########]
LS_032......................≥ $0.0035 [##########]
WebFetch_059................≥ $0.0035 [##########]
mcp__redis__scan_049........≥ $0.0035 [##########]
mcp__browser__click_050.....≥ $0.0035 [##########]
MultiEdit_040...............≥ $0.0035 [##########]
ListMcpResources_067........≥ $0.0035 [##########]
Glob_031....................≥ $0.0035 [##########]
mcp__figma__get_node_021....≥ $0.0035 [##########]
TodoWrite_058...............≥ $0.0035 [##########]
mcp__sentry__resolve_eve…...≥ $0.0035 [##########]
mcp__postgres__query_048....≥ $0.0035 [##########]
SlashCommand_039............≥ $0.0035 [##########]
Grep_030....................≥ $0.0035 [##########]
Glob_056....................≥ $0.0035 [##########]
mcp__linear__list_issues…...≥ $0.0035 [##########]
LS_057......................≥ $0.0035 [##########]
mcp__sentry__resolve_eve…...≥ $0.0035 [#########-]
NotebookRead_011............≥ $0.0035 [#########-]
mcp__claude-in-chrome__b…...≥ $0.0035 [#########-]
Write_028...................≥ $0.0035 [#########-]
Bash_029....................≥ $0.0035 [#########-]
mcp__github__get_issue_0…...≥ $0.0035 [#########-]
mcp__figma__get_node_046....≥ $0.0035 [#########-]
WebSearch_010...............≥ $0.0035 [#########-]
NotebookEdit_037............≥ $0.0035 [#########-]
Edit_027....................≥ $0.0035 [#########-]
ReadMcpResource_018.........≥ $0.0035 [#########-]
mcp__linear__list_issues…...≥ $0.0035 [#########-]
WebFetch_009................≥ $0.0035 [#########-]
WebSearch_035...............≥ $0.0034 [#########-]
NotebookRead_036............≥ $0.0034 [#########-]
Read_026....................≥ $0.0034 [#########-]
ListMcpResources_017........≥ $0.0034 [#########-]
LS_007......................≥ $0.0034 [#########-]
TodoWrite_008...............≥ $0.0034 [#########-]
WebFetch_034................≥ $0.0034 [#########-]
mcp__browser__click_025.....≥ $0.0034 [#########-]
KillShell_016...............≥ $0.0034 [#########-]
Glob_006....................≥ $0.0034 [#########-]
mcp__redis__scan_024........≥ $0.0034 [#########-]
SlashCommand_014............≥ $0.0034 [#########-]
MultiEdit_015...............≥ $0.0034 [#########-]
Grep_005....................≥ $0.0034 [#########-]
mcp__postgres__query_023....≥ $0.0034 [#########-]
Task_013....................≥ $0.0034 [#########-]
Bash_004....................≥ $0.0034 [#########-]
NotebookEdit_012............≥ $0.0034 [#########-]
Write_003...................≥ $0.0034 [#########-]
Edit_002....................≥ $0.0034 [#########-]
Read_001....................≥ $0.0034 [#########-]
--------------------------------------------------
TOTAL....................................≥ $0.3552
standard API-equivalent floor; not an invoice
same tokens on claude-haiku-4-5..........≥ $0.1801
  (50% lower observable floor)
  (arithmetic, not a prediction)
- - - - - - - - - - - - - - - - - - - - - - - - -
                npx aireceipts-cli                
         github.com/anandgupta42/receipts         
- - - - - - - - - - - - - - - - - - - - - - - - -
